,Time,X,Y,Z
0,0.0,59,998,-43
1,0.039,47,956,-27
2,0.078,43,975,47
3,0.117,43,1002,74
4,0.156,12,956,35
5,0.195,12,917,4
6,0.234,27,959,-39
7,0.273,16,956,-47
8,0.312,8,944,35
9,0.35100000000000003,16,1162,105
10,0.39,109,909,-152
11,0.42900000000000005,-94,1112,-137
12,0.468,27,1030,66
13,0.507,39,1131,-98
14,0.546,23,1158,-82
15,0.5860000000000001,-12,1092,0
16,0.625,20,1034,0
17,0.664,27,1170,-140
18,0.7030000000000001,4,1100,-101
19,0.742,12,1092,-140
20,0.781,35,1361,-211
21,0.8200000000000001,176,1104,-39
22,0.8590000000000001,27,1170,-156
23,0.898,-43,1349,-203
24,0.937,16,1346,-101
25,0.9760000000000001,43,1342,-160
26,1.0150000000000001,140,1388,-74
27,1.054,74,1517,-156
28,1.093,-27,1529,-257
29,1.1320000000000001,82,1595,-179
30,1.171,179,1829,-191
31,1.211,363,1767,-176
32,1.25,484,1833,-168
33,1.2890000000000001,581,1825,-191
34,1.328,651,1825,-324
35,1.367,854,1919,-285
36,1.4060000000000001,893,1946,-429
37,1.445,959,1911,-484
38,1.484,893,1849,-390
39,1.5230000000000001,959,1802,-382
40,1.562,924,1868,-394
41,1.6010000000000002,-948,-1548,-1739
42,1.6400000000000001,-889,-1505,-1724
43,1.679,-897,-1521,-1658
44,1.7180000000000002,-901,-1513,-1782
45,1.7570000000000001,-874,-1533,-1736
46,1.796,-893,-1591,-1759
47,1.836,-881,-1580,-1767
48,1.8750000000000002,121,608,-761
49,1.9140000000000001,94,585,-803
50,1.953,125,601,-768
51,1.9920000000000002,109,612,-819
52,2.031,86,569,-807
53,2.0700000000000003,109,589,-800
54,2.109,94,569,-823
55,2.148,90,581,-827
56,2.1870000000000003,82,566,-835
57,2.226,98,577,-811
58,2.265,78,585,-815
59,2.3040000000000003,101,581,-807
60,2.343,117,577,-827
61,2.382,90,573,-839
62,2.4210000000000003,101,562,-819
63,2.4610000000000003,86,569,-842
64,2.5,98,562,-831
65,2.539,101,562,-823
66,2.5780000000000003,94,550,-823
67,2.617,98,566,-819
68,2.656,113,577,-811
69,2.6950000000000003,101,550,-827
70,2.734,98,550,-819
71,2.773,98,581,-815
72,2.8120000000000003,94,569,-831
73,2.851,101,569,-831
74,2.89,94,569,-819
75,2.9290000000000003,98,569,-827
76,2.968,101,569,-823
77,3.007,98,534,-827
78,3.0460000000000003,105,577,-819
79,3.0860000000000003,74,569,-823
80,3.125,98,546,-831
81,3.164,62,569,-800
82,3.2030000000000003,74,562,-831
83,3.242,129,554,-850
84,3.281,109,530,-827
85,3.3200000000000003,129,585,-831
86,3.3590000000000004,94,573,-831
87,3.398,105,589,-854
88,3.4370000000000003,109,573,-819
89,3.4760000000000004,109,554,-823
90,3.515,109,581,-792
91,3.5540000000000003,94,585,-827
92,3.5930000000000004,86,562,-792
93,3.632,90,573,-788
94,3.6710000000000003,78,597,-803
95,3.7110000000000003,74,597,-792
96,3.7500000000000004,66,585,-811
97,3.789,59,608,-819
98,3.8280000000000003,59,601,-827
99,3.8670000000000004,47,585,-839
100,3.906,66,585,-807
101,3.9450000000000003,8,562,-846
102,3.9840000000000004,31,569,-827
103,4.023000000000001,31,550,-823
104,4.062,35,550,-819
105,4.101,43,554,-811
106,4.140000000000001,39,554,-823
107,4.179,35,577,-819
108,4.218,47,581,-835
109,4.257000000000001,31,566,-842
110,4.296,47,577,-831
111,4.336,51,577,-831
112,4.375,27,569,-827
113,4.414000000000001,47,569,-819
114,4.453,51,581,-827
115,4.492,47,573,-839
116,4.531000000000001,55,605,-827
117,4.57,55,589,-819
118,4.609,47,569,-803
119,4.648000000000001,35,550,-792
120,4.687,51,542,-796
121,4.726,35,550,-815
122,4.765000000000001,62,577,-815
123,4.804,62,589,-823
124,4.843,62,601,-827
125,4.882000000000001,55,573,-819
126,4.921,70,581,-819
127,4.961,66,589,-819
128,5.0,59,577,-819
129,5.039000000000001,51,562,-807
130,5.078,51,562,-823
131,5.117,70,585,-811
132,5.156000000000001,62,589,-823
133,5.195,55,585,-815
134,5.234,66,589,-811
135,5.273000000000001,62,566,-807
136,5.312,62,562,-803
137,5.351,59,569,-815
138,5.390000000000001,55,589,-803
139,5.429,78,597,-788
140,5.468,-8,605,-835
141,5.507000000000001,47,612,-831
142,5.546,20,589,-839
143,5.586,59,632,-819
144,5.625,86,651,-780
145,5.664000000000001,74,608,-772
146,5.703,31,608,-803
147,5.742,117,644,-749
148,5.781000000000001,168,624,-749
149,5.82,109,624,-764
150,5.859,160,624,-761
151,5.898000000000001,187,605,-784
152,5.937,144,581,-761
153,5.976,164,612,-780
154,6.015000000000001,176,605,-792
155,6.054,144,589,-788
156,6.093,144,585,-792
157,6.132000000000001,164,616,-792
