,Time,X,Y,Z
0,0.0,-0.13639577,0.13878867,9.688885
1,0.004,-0.11485959,0.16271774,9.758279
2,0.009,-0.10050214,0.16989647,9.784601
3,0.014,-0.14357449,0.11485959,9.705635
4,0.019,-0.15314612,0.12443122,9.7176
5,0.023,-0.07657306,0.1459674,9.763065
6,0.028,-0.12443122,0.107680865,9.751101
7,0.033,-0.1459674,0.16989647,9.684099
8,0.038,-0.1459674,0.1459674,9.731957
9,0.042,-0.13400285,0.1483603,9.767851
10,0.047,-0.1196454,0.12443122,9.722385
11,0.052,-0.14357449,0.18664683,9.73435
12,0.057,-0.05025107,0.12921704,9.753493
13,0.061,-0.1483603,0.1172525,9.755886
14,0.066,-0.11485959,0.12921704,9.712814
15,0.071,-0.13400285,0.15553902,9.73435
16,0.076,-0.11246668,0.16511066,9.739136
17,0.08,-0.11485959,0.13400285,9.753493
18,0.085,-0.15793194,0.14357449,9.688885
19,0.09,-0.13400285,0.16032484,9.746315
20,0.095,-0.13400285,0.12921704,9.784601
21,0.099,-0.08614469,0.07657306,9.753493
22,0.104,-0.14357449,0.13160995,9.719993
23,0.109,-0.12921704,0.1483603,9.686492
24,0.114,-0.13878867,0.105287954,9.753493
25,0.118,-0.1459674,0.14118157,9.724778
26,0.123,-0.1172525,0.1172525,9.746315
27,0.128,-0.14118157,0.12921704,9.7415285
28,0.133,-0.1196454,0.09571633,9.794173
29,0.137,-0.16750357,0.16750357,9.6912775
30,0.142,-0.12921704,0.16032484,9.7176
31,0.147,-0.105287954,0.1196454,9.758279
32,0.152,-0.17468229,0.1172525,9.729565
33,0.156,-0.13160995,0.13878867,9.743921
34,0.161,-0.15075321,0.12203831,9.794173
35,0.166,-0.07896597,0.110073775,9.763065
36,0.171,-0.088537596,0.107680865,9.755886
37,0.175,-0.1196454,0.13639577,9.748708
38,0.18,-0.09810923,0.1196454,9.770244
39,0.185,-0.13639577,0.12921704,9.73435
40,0.19,-0.1459674,0.12443122,9.715207
41,0.194,-0.13400285,0.17228939,9.7415285
42,0.199,-0.088537596,0.14357449,9.767851
43,0.204,-0.15075321,0.16511066,9.710421
44,0.209,-0.16271774,0.12203831,9.703242
45,0.213,-0.09810923,0.12921704,9.710421
46,0.218,-0.11246668,0.10289505,9.722385
47,0.223,-0.15553902,0.15793194,9.6912775
48,0.228,-0.15793194,0.15793194,9.753493
49,0.232,-0.12682413,0.12443122,9.782208
50,0.237,-0.105287954,0.14118157,9.722385
51,0.242,-0.12921704,0.1459674,9.708028
52,0.247,-0.12443122,0.1172525,9.777423
53,0.251,-0.15314612,0.12682413,9.731957
54,0.256,-0.15553902,0.14357449,9.736743
55,0.261,-0.13639577,0.15314612,9.708028
56,0.266,-0.12443122,0.1196454,9.784601
57,0.27,-0.14357449,0.12682413,9.722385
58,0.275,-0.13400285,0.12443122,9.731957
59,0.28,-0.10289505,0.09810923,9.727171
60,0.285,-0.12921704,0.15314612,9.719993
61,0.289,-0.11246668,0.11246668,9.748708
62,0.294,-0.17228939,0.15314612,9.748708
63,0.299,-0.12921704,0.10289505,9.722385
64,0.304,-0.14118157,0.14118157,9.739136
65,0.308,-0.12443122,0.15075321,9.763065
66,0.313,-0.1459674,0.1483603,9.755886
67,0.318,-0.10289505,0.13160995,9.753493
68,0.323,-0.110073775,0.12682413,9.715207
69,0.327,-0.1459674,0.12921704,9.7415285
70,0.332,-0.15314612,0.09810923,9.736743
71,0.337,-0.12921704,0.13160995,9.751101
72,0.342,-0.12443122,0.15314612,9.758279
73,0.346,-0.07896597,0.12203831,9.755886
74,0.351,-0.12921704,0.12443122,9.753493
75,0.356,-0.13878867,0.16511066,9.739136
76,0.361,-0.14357449,0.1459674,9.739136
77,0.365,-0.13400285,0.17707519,9.724778
78,0.37,-0.11485959,0.105287954,9.708028
79,0.375,-0.16750357,0.11485959,9.705635
80,0.38,-0.07418015,0.15075321,9.7176
81,0.384,-0.1196454,0.11246668,9.746315
82,0.389,-0.13400285,0.08614469,9.743921
83,0.394,-0.11485959,0.14118157,9.736743
84,0.399,-0.1483603,0.12682413,9.698457
85,0.403,-0.1172525,0.1196454,9.753493
86,0.408,-0.12682413,0.110073775,9.731957
87,0.413,-0.11246668,0.110073775,9.751101
88,0.418,-0.107680865,0.12203831,9.715207
89,0.422,-0.11246668,0.12203831,9.743921
90,0.427,-0.14357449,0.15075321,9.755886
91,0.432,-0.15075321,0.16032484,9.748708
92,0.437,-0.110073775,0.1172525,9.724778
93,0.441,-0.13400285,0.13400285,9.712814
94,0.446,-0.14118157,0.12921704,9.751101
95,0.451,-0.14357449,0.15075321,9.715207
96,0.456,-0.17946811,0.13160995,9.727171
97,0.46,-0.1459674,0.11246668,9.763065
98,0.465,-0.11246668,0.16032484,9.722385
99,0.47,-0.13160995,0.15553902,9.73435
100,0.475,-0.110073775,0.13639577,9.698457
101,0.479,-0.09571633,0.14357449,9.746315
102,0.484,-0.10289505,0.14357449,9.758279
103,0.489,-0.11246668,0.09093051,9.772636
104,0.494,-0.15314612,0.1483603,9.751101
105,0.498,-0.12203831,0.12443122,9.729565
106,0.503,-0.13639577,0.1459674,9.753493
107,0.508,-0.15793194,0.13400285,9.746315
108,0.513,-0.12443122,0.09571633,9.729565
109,0.517,-0.14118157,0.11246668,9.724778
110,0.522,-0.13639577,0.14118157,9.753493
111,0.527,-0.12443122,0.110073775,9.743921
112,0.532,-0.11246668,0.17228939,9.703242
113,0.536,-0.1483603,0.14357449,9.696064
114,0.541,-0.15553902,0.12682413,9.7415285
115,0.546,-0.12682413,0.10050214,9.770244
116,0.551,-0.13400285,0.1459674,9.705635
117,0.555,-0.12443122,0.14357449,9.760673
118,0.56,-0.12921704,0.14118157,9.736743
119,0.565,-0.107680865,0.16511066,9.710421
