time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s)
596.223847,-1.0044,0.0464,-0.0257,-0.0173,-0.0517,0.0749,-0.0157,-0.0131,-0.018,1001.845,48.3,5.52,26.76,56.0,283.4705,-176.7447,-88.4548,57.4311,59.9323375,10.7183187,0.0
596.24084,-1.0066,0.0445,-0.0244,-0.0173,-0.0517,0.0749,-0.0157,-0.0131,-0.018,1001.845,48.18,5.52,26.52,56.0,283.4705,-176.7447,-88.4548,57.4311,59.9323375,10.7183187,0.0
596.261893,-1.009,0.0454,-0.0261,-0.0173,-0.0517,0.0749,-0.0157,-0.0131,-0.018,1001.845,47.76,5.16,26.88,56.0,283.4705,-176.7447,-88.4548,57.4311,59.9323375,10.7183187,0.0
596.282549,-1.0095,0.0413,-0.0288,-0.1014,-0.0997,0.0424,0.0057,0.1775,-0.0144,1001.8477,48.0,4.8,27.84,56.0,283.3338,-176.8138,-88.2523,57.4311,59.9323375,10.7183187,0.0
596.300815,-1.0171,0.0391,-0.0391,-0.1014,-0.0997,0.0424,0.0057,0.1775,-0.0144,1001.8477,48.12,4.38,29.58,56.0,283.3338,-176.8138,-88.2523,57.4311,59.9323375,10.7183187,0.0
596.324462,-1.0234,0.0401,-0.0511,-0.1014,-0.0997,0.0424,0.0057,0.1775,-0.0144,1001.8477,47.28,4.08,30.6,56.0,283.3338,-176.8138,-88.2523,57.4311,59.9323375,10.7183187,0.0
596.340755,-1.0207,0.0489,-0.0511,-0.2455,-0.1411,-0.1061,0.0356,0.1365,-0.0119,1001.8477,46.86,3.9,30.36,55.0,282.5705,-176.8798,-87.6924,57.4311,59.9323375,10.7183187,0.0
596.36195,-1.0193,0.0557,-0.0357,-0.2455,-0.1411,-0.1061,0.0356,0.1365,-0.0119,1001.8477,47.58,4.74,28.74,55.0,282.5705,-176.8798,-87.6924,57.4311,59.9323375,10.7183187,0.0
596.381027,-1.0198,0.0635,-0.0379,-0.2455,-0.1411,-0.1061,0.0356,0.1365,-0.0119,1001.8445,47.58,4.5,28.86,55.0,282.5705,-176.8798,-87.6924,57.4311,59.9323375,10.7183187,0.0
596.401919,-1.0139,0.0618,-0.053,-0.2112,0.0949,0.0696,0.0191,-0.0437,0.0052,1001.8445,46.38,3.48,29.58,55.0,281.2709,-176.9158,-87.4207,57.4311,59.9323375,10.7183187,0.0
596.420679,-1.0088,0.0603,-0.0467,-0.2112,0.0949,0.0696,0.0191,-0.0437,0.0052,1001.8445,46.5,4.14,28.8,55.0,281.2709,-176.9158,-87.4207,57.4311,59.9323375,10.7183187,0.0
596.44144,-1.0134,0.0562,-0.0472,-0.2112,0.0949,0.0696,0.0191,-0.0437,0.0052,1001.8445,47.1,4.38,28.62,55.0,281.2709,-176.9158,-87.4207,57.4311,59.9323375,10.7183187,0.0
596.502955,-1.0066,0.0606,-0.0569,-0.1494,0.0166,-0.0198,0.0093,0.0828,0.0192,1001.8486,47.46,4.38,27.78,55.0,281.1714,-176.8782,-87.4115,57.2213,59.9323375,10.7183187,0.0
596.523783,-1.0129,0.0572,-0.0479,-0.084,0.05,-0.0911,-0.0389,-0.0064,-0.0058,1001.8486,48.54,5.1,28.2,55.0,281.9082,-176.8212,-87.2679,57.2213,59.9323375,10.7183187,0.0
596.541404,-1.0156,0.0437,-0.0393,-0.084,0.05,-0.0911,-0.0389,-0.0064,-0.0058,1001.8486,48.84,5.82,27.42,54.0,281.9082,-176.8212,-87.2679,57.2213,59.9323375,10.7183187,0.0
596.562303,-1.0093,0.0415,-0.0481,-0.084,0.05,-0.0911,-0.0389,-0.0064,-0.0058,1001.8486,48.3,5.58,26.58,54.0,281.9082,-176.8212,-87.2679,57.2213,59.9323375,10.7183187,0.0
596.581793,-1.0039,0.0491,-0.0513,-0.1101,-0.1287,0.0001,-0.0139,0.0046,-0.0162,1001.8491,48.24,5.52,26.64,54.0,283.9072,-176.8684,-87.2388,57.2213,59.9323375,10.7183187,0.0
596.620781,-1.0137,0.0555,-0.0479,-0.1101,-0.1287,0.0001,-0.0139,0.0046,-0.0162,1001.8491,47.46,4.32,27.72,54.0,283.9072,-176.8684,-87.2388,57.2213,59.9323375,10.7183187,0.0
596.642132,-1.0137,0.0486,-0.0447,-0.1528,0.0159,0.0032,-0.0231,0.0089,-0.0064,1001.8491,47.22,4.32,27.78,54.0,283.6781,-176.9162,-87.2348,57.2213,59.9323375,10.7183187,0.0
596.661587,-1.0085,0.0457,-0.045,-0.1528,0.0159,0.0032,-0.0231,0.0089,-0.0064,1001.8491,47.88,4.86,27.9,54.0,283.6781,-176.9162,-87.2348,57.2213,59.9323375,10.7183187,0.0
596.683316,-1.0029,0.0481,-0.0435,-0.1528,0.0159,0.0032,-0.0231,0.0089,-0.0064,1001.8525,47.88,4.5,28.26,54.0,283.6781,-176.9162,-87.2348,57.2213,59.9323375,10.7183187,0.0
596.701288,-1.0046,0.0528,-0.0493,-0.0475,-0.0547,0.0492,-0.0182,-0.0082,-0.0021,1001.8525,47.4,4.68,28.02,54.0,283.3679,-176.9235,-87.2176,57.2213,59.9323375,10.7183187,0.0
596.723427,-1.009,0.0501,-0.0464,-0.0475,-0.0547,0.0492,-0.0182,-0.0082,-0.0021,1001.8525,47.52,4.56,27.6,54.0,283.3679,-176.9235,-87.2176,57.2213,59.9323375,10.7183187,0.0
596.740717,-1.0115,0.0459,-0.045,-0.0475,-0.0547,0.0492,-0.0182,-0.0082,-0.0021,1001.8525,47.4,4.62,28.02,54.0,283.3679,-176.9235,-87.2176,57.2213,59.9323375,10.7183187,0.0
