time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s)
0.034413,0.0132,-0.0217,0.9978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.063626,-0.0325,0.0117,1.021,0.068,-0.1011,-0.0276,-0.0434,-0.4501,0.0037,1002.1355,-3.66,7.92,-28.32,0.0,357.647,0.6544,0.3584,-0.0,59.9323375,10.7183187,0.0
0.065821,-0.0188,-0.0088,1.0225,0.068,-0.1011,-0.0276,-0.0434,-0.4501,0.0037,1002.1355,-3.72,7.98,-30.3,369.0,357.647,0.6544,0.3584,-0.0,59.9323375,10.7183187,0.0
0.087054,0.0159,-0.0159,0.9846,0.068,-0.1011,-0.0276,-0.0434,-0.4501,0.0037,1002.1355,-4.02,7.86,-31.62,369.0,357.647,0.6544,0.3584,-0.0,59.9323375,10.7183187,0.0
0.106137,-0.0083,-0.0042,1.009,-0.0456,-0.0224,-0.1547,-0.016,-0.0786,0.0043,1002.1355,-2.1,9.0,-32.7,369.0,0.0157,0.7785,1.1761,-0.0,59.9323375,10.7183187,0.0
0.128228,-0.0195,-0.0005,1.0185,-0.0456,-0.0224,-0.1547,-0.016,-0.0786,0.0043,1002.1355,-0.24,10.74,-35.28,369.0,0.0157,0.7785,1.1761,-0.0,59.9323375,10.7183187,0.0
0.146235,-0.0017,-0.0093,1.0014,-0.0456,-0.0224,-0.1547,-0.016,-0.0786,0.0043,1002.1411,0.0,11.58,-36.36,369.0,0.0157,0.7785,1.1761,-0.0,59.9323375,10.7183187,0.0
0.165927,0.0015,-0.0086,0.998,-0.2019,0.0394,0.0101,-0.0251,-0.0591,0.0012,1002.1411,-1.02,11.04,-36.54,369.0,0.0256,0.7619,1.0818,-0.0,59.9323375,10.7183187,0.0
0.185903,-0.0103,-0.0044,1.0107,-0.2019,0.0394,0.0101,-0.0251,-0.0591,0.0012,1002.1411,-1.38,11.46,-36.9,369.0,0.0256,0.7619,1.0818,-0.0,59.9323375,10.7183187,0.0
0.209931,-0.0073,-0.0054,1.0095,-0.2758,0.0847,0.1009,-0.0117,-0.0182,-0.0006,1002.1411,-0.12,11.46,-36.18,369.0,359.969,0.7468,1.0239,-0.0,59.9323375,10.7183187,0.0
0.226257,-0.0044,-0.0083,1.0024,-0.2758,0.0847,0.1009,-0.0117,-0.0182,-0.0006,1002.1411,-0.12,11.46,-36.18,369.0,359.969,0.7468,1.0239,-0.0,59.9323375,10.7183187,0.0
0.247421,-0.0061,-0.009,1.0058,-0.2758,0.0847,0.1009,-0.0117,-0.0182,-0.0006,1002.1267,0.06,12.06,-36.72,369.0,359.969,0.7468,1.0239,-0.0,59.9323375,10.7183187,0.0
0.266161,-0.0086,-0.0054,1.008,-0.2758,0.0847,0.1009,-0.0117,-0.0182,-0.0006,1002.1267,-0.48,12.3,-36.9,369.0,359.969,0.7468,1.0239,-0.0,59.9323375,10.7183187,0.0
0.287157,-0.0076,-0.0068,1.0073,-0.2457,0.0747,0.0743,0.0024,0.0197,-0.0067,1002.1267,-0.06,12.24,-36.48,369.0,359.7083,0.7441,0.9459,-0.0,59.9323375,10.7183187,0.0
0.306328,-0.0022,-0.0051,1.0019,-0.2457,0.0747,0.0743,0.0024,0.0197,-0.0067,1002.1267,0.18,12.18,-36.6,369.0,359.7083,0.7441,0.9459,-0.0,59.9323375,10.7183187,0.0
0.33063,-0.0066,-0.0073,1.0056,-0.1715,0.0782,0.0143,-0.0062,0.049,-0.0018,1002.1453,0.78,12.78,-37.74,369.0,359.0493,0.7504,0.8761,-0.0,59.9323375,10.7183187,0.0
0.346233,-0.0105,-0.0061,1.0093,-0.1715,0.0782,0.0143,-0.0062,0.049,-0.0018,1002.1453,0.78,12.78,-37.74,369.0,359.0493,0.7504,0.8761,-0.0,59.9323375,10.7183187,0.0
0.365886,-0.0149,-0.0076,1.0293,-0.1715,0.0782,0.0143,-0.0062,0.049,-0.0018,1002.1453,0.36,12.84,-37.2,369.0,359.0493,0.7504,0.8761,-0.0,59.9323375,10.7183187,0.0
0.386405,-0.0208,-0.0107,1.022,-0.1715,0.0782,0.0143,-0.0062,0.049,-0.0018,1002.1453,0.18,12.48,-36.72,369.0,359.0493,0.7504,0.8761,-0.0,59.9323375,10.7183187,0.0
0.407486,0.0154,-0.0061,0.9839,-0.3145,0.0155,0.21,-0.0245,-0.2082,-0.0183,1002.1453,0.78,12.6,-37.74,369.0,356.4494,0.7058,0.6488,-0.0,59.9323375,10.7183187,0.0
0.426448,0.0166,-0.0139,0.9904,-0.3145,0.0155,0.21,-0.0245,-0.2082,-0.0183,1002.1453,0.72,12.42,-38.04,369.0,356.4494,0.7058,0.6488,-0.0,59.9323375,10.7183187,0.0
0.44638,0.0034,-0.0068,1.0024,-0.3145,0.0155,0.21,-0.0245,-0.2082,-0.0183,1002.1277,0.72,13.08,-37.38,369.0,356.4494,0.7058,0.6488,-0.0,59.9323375,10.7183187,0.0
0.465911,-0.0151,-0.0064,1.0203,-0.1201,0.0577,0.0191,0.0341,0.0906,0.0086,1002.1277,0.3,12.84,-36.9,369.0,354.3086,0.7289,0.8977,-0.0,59.9323375,10.7183187,0.0
0.486353,-0.0059,-0.0071,1.0088,-0.1201,0.0577,0.0191,0.0341,0.0906,0.0086,1002.1277,-0.24,12.36,-37.38,369.0,354.3086,0.7289,0.8977,-0.0,59.9323375,10.7183187,0.0
0.506185,0.0098,-0.01,0.997,-0.1201,0.0577,0.0191,0.0341,0.0906,0.0086,1002.1277,-0.24,12.24,-37.38,369.0,354.3086,0.7289,0.8977,-0.0,59.9323375,10.7183187,0.0
0.527717,0.0034,-0.0083,1.0014,-0.0324,0.0199,-0.0341,-0.0147,-0.0542,-0.0061,1002.1277,-0.18,12.0,-37.08,369.0,356.8963,0.6895,0.7488,70.2712,59.9323375,10.7183187,0.0
0.545989,-0.0046,-0.009,1.0129,-0.0324,0.0199,-0.0341,-0.0147,-0.0542,-0.0061,1002.147,-0.12,11.82,-37.5,369.0,356.8963,0.6895,0.7488,70.2712,59.9323375,10.7183187,0.0
0.566131,-0.0059,-0.0088,1.0119,-0.0324,0.0199,-0.0341,-0.0147,-0.0542,-0.0061,1002.147,-0.06,11.94,-37.32,369.0,356.8963,0.6895,0.7488,70.2712,59.9323375,10.7183187,0.0
0.586021,0.0029,-0.0076,1.0032,-0.1663,0.0266,0.1117,-0.0099,-0.0231,-0.0,1002.147,0.72,12.6,-37.5,369.0,356.8975,0.6593,0.6358,70.2712,59.9323375,10.7183187,0.0
0.60628,0.0044,-0.01,1.0024,-0.1663,0.0266,0.1117,-0.0099,-0.0231,-0.0,1002.147,1.14,13.44,-38.52,369.0,356.8975,0.6593,0.6358,70.2712,59.9323375,10.7183187,0.0
0.626446,-0.001,-0.0088,1.0093,-0.1663,0.0266,0.1117,-0.0099,-0.0231,-0.0,1002.147,0.78,13.26,-38.04,369.0,356.8975,0.6593,0.6358,70.2712,59.9323375,10.7183187,0.0
