time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s)
57.600261,-1.0032,0.0599,-0.0498,-0.0542,-0.0124,-0.0111,-0.0072,-0.0076,0.0015,1001.7466,48.72,4.38,29.1,46.0,280.7669,-176.4984,-87.2049,57.5709,59.9323375,10.7183187,0.0
57.66137,-1.0078,0.0555,-0.0445,-0.0997,-0.0548,0.0434,-0.0047,0.0174,0.0027,1001.719,46.98,2.7,29.76,46.0,279.7316,-176.5024,-87.1943,57.5709,59.9323375,10.7183187,0.0
57.727292,-1.008,0.0628,-0.0459,-0.1022,0.0157,0.0281,-0.0115,-0.0131,0.0052,1001.719,48.54,3.84,29.52,46.0,280.0059,-176.4946,-87.1995,57.5709,59.9323375,10.7183187,0.0
57.780377,-1.0102,0.053,-0.0457,-0.1236,-0.0803,0.0269,0.0044,0.0113,0.007,1001.7122,47.94,3.72,30.42,46.0,279.9825,-176.493,-87.2205,57.5709,59.9323375,10.7183187,0.0
57.844518,-1.01,0.0591,-0.0481,-0.1212,-0.02,0.0039,0.002,-0.0027,0.0095,1001.7178,48.0,4.02,29.22,46.0,280.1909,-176.4955,-87.215,57.5709,59.9323375,10.7183187,0.0
57.900109,-1.0085,0.0579,-0.0457,-0.1066,-0.0335,0.0214,-0.0023,-0.0034,0.0076,1001.7178,48.3,4.2,30.18,46.0,280.3655,-176.4869,-87.2527,57.2293,59.9323375,10.7183187,0.0
57.959393,-1.0107,0.0603,-0.0401,-0.1281,-0.0113,0.0735,-0.0108,-0.0119,0.0064,1001.7273,48.72,5.04,29.46,46.0,280.8108,-176.4767,-87.27,57.2293,59.9323375,10.7183187,0.0
58.024546,-1.0066,0.0584,-0.0484,-0.087,-0.0321,-0.0185,0.0081,0.0089,0.015,1001.7273,49.26,4.08,30.36,46.0,281.0634,-176.4668,-87.3324,57.2293,59.9323375,10.7183187,0.0
58.081444,-1.0097,0.0579,-0.0359,-0.1181,-0.039,0.0998,0.0014,-0.0199,0.0095,1001.75,47.04,2.34,31.62,46.0,281.057,-176.4547,-87.3544,57.2293,59.9323375,10.7183187,0.0
58.141291,-1.008,0.0606,-0.0435,-0.1013,-0.0135,0.0233,0.0057,0.0351,0.0107,1001.7551,48.48,4.92,29.16,46.0,281.0779,-176.4497,-87.3677,57.2293,59.9323375,10.7183187,0.0
